"Number / Range","Full Description","Procedure type","Approach","Replacement"
"02CG0ZZ","Extirpation of Matter from Mitral Valve, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02CG3ZZ","Extirpation of Matter from Mitral Valve, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02CG4ZZ","Extirpation of Matter from Mitral Valve, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02CJ0ZZ","Extirpation of Matter from Tricuspid Valve, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02CJ3ZZ","Extirpation of Matter from Tricuspid Valve, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"02CJ4ZZ","Extirpation of Matter from Tricuspid Valve, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02NF0ZZ","Release Aortic Valve, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02NF3ZZ","Release Aortic Valve, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"02NF4ZZ","Release Aortic Valve, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02NG0ZZ","Release Mitral Valve, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02NG3ZZ","Release Mitral Valve, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02NG4ZZ","Release Mitral Valve, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02NJ0ZZ","Release Tricuspid Valve, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02NJ3ZZ","Release Tricuspid Valve, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"02NJ4ZZ","Release Tricuspid Valve, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QF0ZJ","Repair Aortic Valve created from Truncal Valve, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02QF0ZZ","Repair Aortic Valve, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02QF3ZJ","Repair Aortic Valve created from Truncal Valve, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"02QF3ZZ","Repair Aortic Valve, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"02QF4ZJ","Repair Aortic Valve created from Truncal Valve, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QF4ZZ","Repair Aortic Valve, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QG0ZE","Repair Mitral Valve created from Left Atrioventricular Valve, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02QG0ZZ","Repair Mitral Valve, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02QG3ZE","Repair Mitral Valve created from Left Atrioventricular Valve, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02QG3ZZ","Repair Mitral Valve, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02QG4ZE","Repair Mitral Valve created from Left Atrioventricular Valve, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QG4ZZ","Repair Mitral Valve, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QJ0ZG","Repair Tricuspid Valve created from Right Atrioventricular Valve, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02QJ0ZZ","Repair Tricuspid Valve, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02QJ3ZG","Repair Tricuspid Valve created from Right Atrioventricular Valve, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"02QJ3ZZ","Repair Tricuspid Valve, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"02QJ4ZG","Repair Tricuspid Valve created from Right Atrioventricular Valve, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02QJ4ZZ","Repair Tricuspid Valve, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02RF07Z","Replacement of Aortic Valve with Autologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",TRUE
"02RF08N","Replacement of Aortic Valve with Zooplastic Tissue, using Rapid Deployment Technique, Open Approach","Aortic Valve repair/replacement","Open Approach",TRUE
"02RF08Z","Replacement of Aortic Valve with Zooplastic Tissue, Open Approach","Aortic Valve repair/replacement","Open Approach",TRUE
"02RF0JZ","Replacement of Aortic Valve with Synthetic Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",TRUE
"02RF0KZ","Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",TRUE
"02RF37H","Replacement of Aortic Valve with Autologous Tissue Substitute, Transapical, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF37Z","Replacement of Aortic Valve with Autologous Tissue Substitute, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF38H","Replacement of Aortic Valve with Zooplastic Tissue, Transapical, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF38N","Replacement of Aortic Valve with Zooplastic Tissue, using Rapid Deployment Technique, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF38Z","Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF3JH","Replacement of Aortic Valve with Synthetic Substitute, Transapical, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF3JZ","Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF3KH","Replacement of Aortic Valve with Nonautologous Tissue Substitute, Transapical, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF3KZ","Replacement of Aortic Valve with Nonautologous Tissue Substitute, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",TRUE
"02RF47Z","Replacement of Aortic Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RF48N","Replacement of Aortic Valve with Zooplastic Tissue, using Rapid Deployment Technique, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RF48Z","Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RF4JZ","Replacement of Aortic Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RF4KZ","Replacement of Aortic Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RG07Z","Replacement of Mitral Valve with Autologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",TRUE
"02RG08Z","Replacement of Mitral Valve with Zooplastic Tissue, Open Approach","Mitral Valve repair/replacement","Open Approach",TRUE
"02RG0JZ","Replacement of Mitral Valve with Synthetic Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",TRUE
"02RG0KZ","Replacement of Mitral Valve with Nonautologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",TRUE
"02RG37H","Replacement of Mitral Valve with Autologous Tissue Substitute, Transapical, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG37Z","Replacement of Mitral Valve with Autologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG38H","Replacement of Mitral Valve with Zooplastic Tissue, Transapical, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG38Z","Replacement of Mitral Valve with Zooplastic Tissue, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG3JH","Replacement of Mitral Valve with Synthetic Substitute, Transapical, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG3JZ","Replacement of Mitral Valve with Synthetic Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG3KH","Replacement of Mitral Valve with Nonautologous Tissue Substitute, Transapical, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG3KZ","Replacement of Mitral Valve with Nonautologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",TRUE
"02RG47Z","Replacement of Mitral Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RG48Z","Replacement of Mitral Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RG4JZ","Replacement of Mitral Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RG4KZ","Replacement of Mitral Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RJ07Z","Replacement of Tricuspid Valve with Autologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",TRUE
"02RJ08Z","Replacement of Tricuspid Valve with Zooplastic Tissue, Open Approach","Tricuspid Valve repair/replacement","Open Approach",TRUE
"02RJ0JZ","Replacement of Tricuspid Valve with Synthetic Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",TRUE
"02RJ0KZ","Replacement of Tricuspid Valve with Nonautologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",TRUE
"02RJ37H","Replacement of Tricuspid Valve with Autologous Tissue Substitute, Transapical, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ37Z","Replacement of Tricuspid Valve with Autologous Tissue Substitute, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ38H","Replacement of Tricuspid Valve with Zooplastic Tissue, Transapical, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ38Z","Replacement of Tricuspid Valve with Zooplastic Tissue, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ3JH","Replacement of Tricuspid Valve with Synthetic Substitute, Transapical, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ3JZ","Replacement of Tricuspid Valve with Synthetic Substitute, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ3KH","Replacement of Tricuspid Valve with Nonautologous Tissue Substitute, Transapical, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ3KZ","Replacement of Tricuspid Valve with Nonautologous Tissue Substitute, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",TRUE
"02RJ47Z","Replacement of Tricuspid Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RJ48Z","Replacement of Tricuspid Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RJ4JZ","Replacement of Tricuspid Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02RJ4KZ","Replacement of Tricuspid Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",TRUE
"02UF07J","Supplement Aortic Valve created from Truncal Valve with Autologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF07Z","Supplement Aortic Valve with Autologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF08J","Supplement Aortic Valve created from Truncal Valve with Zooplastic Tissue, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF08Z","Supplement Aortic Valve with Zooplastic Tissue, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF0JJ","Supplement Aortic Valve created from Truncal Valve with Synthetic Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF0JZ","Supplement Aortic Valve with Synthetic Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF0KJ","Supplement Aortic Valve created from Truncal Valve with Nonautologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF0KZ","Supplement Aortic Valve with Nonautologous Tissue Substitute, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02UF47J","Supplement Aortic Valve created from Truncal Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF47Z","Supplement Aortic Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF48J","Supplement Aortic Valve created from Truncal Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF48Z","Supplement Aortic Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF4JJ","Supplement Aortic Valve created from Truncal Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF4JZ","Supplement Aortic Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF4KJ","Supplement Aortic Valve created from Truncal Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UF4KZ","Supplement Aortic Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG07E","Supplement Mitral Valve created from Left Atrioventricular Valve with Autologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG07Z","Supplement Mitral Valve with Autologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG08E","Supplement Mitral Valve created from Left Atrioventricular Valve with Zooplastic Tissue, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG08Z","Supplement Mitral Valve with Zooplastic Tissue, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG0JE","Supplement Mitral Valve created from Left Atrioventricular Valve with Synthetic Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG0JZ","Supplement Mitral Valve with Synthetic Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG0KE","Supplement Mitral Valve created from Left Atrioventricular Valve with Nonautologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG0KZ","Supplement Mitral Valve with Nonautologous Tissue Substitute, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"02UG37E","Supplement Mitral Valve created from Left Atrioventricular Valve with Autologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG37Z","Supplement Mitral Valve with Autologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG38E","Supplement Mitral Valve created from Left Atrioventricular Valve with Zooplastic Tissue, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG38Z","Supplement Mitral Valve with Zooplastic Tissue, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG3JE","Supplement Mitral Valve created from Left Atrioventricular Valve with Synthetic Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG3JZ","Supplement Mitral Valve with Synthetic Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG3KE","Supplement Mitral Valve created from Left Atrioventricular Valve with Nonautologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG3KZ","Supplement Mitral Valve with Nonautologous Tissue Substitute, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"02UG47E","Supplement Mitral Valve created from Left Atrioventricular Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG47Z","Supplement Mitral Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG48E","Supplement Mitral Valve created from Left Atrioventricular Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG48Z","Supplement Mitral Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG4JE","Supplement Mitral Valve created from Left Atrioventricular Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG4JZ","Supplement Mitral Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG4KE","Supplement Mitral Valve created from Left Atrioventricular Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UG4KZ","Supplement Mitral Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ07G","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Autologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ07Z","Supplement Tricuspid Valve with Autologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ08G","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Zooplastic Tissue, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ08Z","Supplement Tricuspid Valve with Zooplastic Tissue, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ0JG","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Synthetic Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ0JZ","Supplement Tricuspid Valve with Synthetic Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ0KG","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Nonautologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ0KZ","Supplement Tricuspid Valve with Nonautologous Tissue Substitute, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"02UJ47G","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ47Z","Supplement Tricuspid Valve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ48G","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ48Z","Supplement Tricuspid Valve with Zooplastic Tissue, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ4JG","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ4JZ","Supplement Tricuspid Valve with Synthetic Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ4KG","Supplement Tricuspid Valve created from Right Atrioventricular Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02UJ4KZ","Supplement Tricuspid Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
