"Number / Range","Full Description","Procedure type","Approach","Replacement"
"0211499","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021149C","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021149F","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021149W","Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114A3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114A8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114A9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114AC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114AF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114AW","Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114D4","Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114J3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114J8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114J9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02114JC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
