"group","codes"
"colon","0DTN7ZZ"
"colon","0DTN8ZZ"
"colon","0DTNFZZ"
"colon","0DTG0ZZ"
"colon","0DTG4ZG"
"colon","0DTG4ZZ"
"colon","0DTG7ZZ"
"colon","0DTG8ZZ"
"colon","0DTGFZZ"
"colon","0DTF0ZZ"
"colon","0DTF4ZG"
"colon","0DTF4ZZ"
"colon","0DTF7ZZ"
"colon","0DTF8ZZ"
"colon","173"
"colon","1731"
"colon","1732"
"colon","1733"
"colon","1734"
"colon","1735"
"colon","1736"
"colon","1739"
"colon","457"
"colon","4571"
"colon","4572"
"colon","4573"
"colon","4574"
"colon","4575"
"colon","4576"
"colon","4579"
"colon","458"
"colon","4581"
"colon","4582"
"colon","4583"
"colon","44144"
"colon","44157"
"colon","44158"
"colon","44160"
"colon","44204"
"colon","44205"
"colon","44207"
"colon","44208"
"colon","45402"
"craniotomy","00B00ZX"
"craniotomy","00B00ZZ"
"craniotomy","0124"
"craniotomy","0131"
"craniotomy","0132"
"craniotomy","0139"
"craniotomy","0153"
"craniotomy","61500"
"craniotomy","61510"
"craniotomy","61512"
"craniotomy","61518"
"craniotomy","61519"
"craniotomy","61520"
"craniotomy","61521"
"craniotomy","61522"
"craniotomy","61524"
"craniotomy","61526"
"craniotomy","61530"
"craniotomy","61545"
"craniotomy","61546"
"fem_pop","041K09L"
"fem_pop","041K0AL"
"fem_pop","041K0JL"
"fem_pop","041K0KL"
"fem_pop","041K0ZL"
"fem_pop","041K49L"
"fem_pop","041K4AL"
"fem_pop","041K4JL"
"fem_pop","041K4KL"
"fem_pop","041K4ZL"
"fem_pop","041L09L"
"fem_pop","041L0AL"
"fem_pop","041L0JL"
"fem_pop","041L0KL"
"fem_pop","041L0ZL"
"fem_pop","041L49L"
"fem_pop","041L4AL"
"fem_pop","041L4JL"
"fem_pop","041L4KL"
"fem_pop","041L4ZL"
"fem_pop","X2KH3E9"
"fem_pop","X2KJ3E9"
"fem_pop","3929"
"fem_pop","35556"
"fem_pop","35583"
"fem_pop","35656"
"femur","0QQ60ZZ"
"femur","0QQ70ZZ"
"femur","0QQB0ZZ"
"femur","0QQC0ZZ"
"femur","7925"
"femur","7935"
"femur","7955"
"femur","27170"
"femur","27176"
"femur","27177"
"femur","27178"
"femur","27179"
"femur","27181"
"femur","27248"
"femur","27470"
"femur","27472"
"gastric_bypass","0D1607A"
"gastric_bypass","0D1607B"
"gastric_bypass","0D160JA"
"gastric_bypass","0D160JB"
"gastric_bypass","0D160KA"
"gastric_bypass","0D160KB"
"gastric_bypass","0D160ZA"
"gastric_bypass","0D160ZB"
"gastric_bypass","0D1647A"
"gastric_bypass","0D1647B"
"gastric_bypass","0D164JA"
"gastric_bypass","0D164JB"
"gastric_bypass","0D164KA"
"gastric_bypass","0D164KB"
"gastric_bypass","0D164ZA"
"gastric_bypass","0D164ZB"
"gastric_bypass","0D1687A"
"gastric_bypass","0D1687B"
"gastric_bypass","0D168JA"
"gastric_bypass","0D168JB"
"gastric_bypass","0D168KA"
"gastric_bypass","0D168KB"
"gastric_bypass","0D168ZA"
"gastric_bypass","0D168ZB"
"gastric_bypass","437"
"gastric_bypass","4381"
"gastric_bypass","4431"
"gastric_bypass","4432"
"gastric_bypass","4438"
"gastric_bypass","4439"
"gastric_bypass","43644"
"gastric_bypass","43645"
"gastric_bypass","43845"
"gastric_bypass","43846"
"gastric_bypass","43847"
"hip","0SR9019"
"hip","0SR901A"
"hip","0SR901Z"
"hip","0SR9029"
"hip","0SR902A"
"hip","0SR902Z"
"hip","0SR9039"
"hip","0SR903A"
"hip","0SR903Z"
"hip","0SR9049"
"hip","0SR904A"
"hip","0SR904Z"
"hip","0SR9069"
"hip","0SR906A"
"hip","0SR906Z"
"hip","0SR907Z"
"hip","0SR90EZ"
"hip","0SR90J9"
"hip","0SR90JA"
"hip","0SR90JZ"
"hip","0SR90KZ"
"hip","0SRA009"
"hip","0SRA00A"
"hip","0SRA00Z"
"hip","0SRA019"
"hip","0SRA01A"
"hip","0SRA01Z"
"hip","0SRA039"
"hip","0SRA03A"
"hip","0SRA03Z"
"hip","0SRA07Z"
"hip","0SRA0J9"
"hip","0SRA0JA"
"hip","0SRA0JZ"
"hip","0SRA0KZ"
"hip","0SRB019"
"hip","0SRB01A"
"hip","0SRB01Z"
"hip","0SRB029"
"hip","0SRB02A"
"hip","0SRB02Z"
"hip","0SRB039"
"hip","0SRB03A"
"hip","0SRB03Z"
"hip","0SRB049"
"hip","0SRB04A"
"hip","0SRB04Z"
"hip","0SRB069"
"hip","0SRB06A"
"hip","0SRB06Z"
"hip","0SRB07Z"
"hip","0SRB0EZ"
"hip","0SRB0J9"
"hip","0SRB0JA"
"hip","0SRB0JZ"
"hip","0SRB0KZ"
"hip","0SRE009"
"hip","0SRE00A"
"hip","0SRE00Z"
"hip","0SRE019"
"hip","0SRE01A"
"hip","0SRE01Z"
"hip","0SRE039"
"hip","0SRE03A"
"hip","0SRE03Z"
"hip","0SRE07Z"
"hip","0SRE0J9"
"hip","0SRE0JA"
"hip","0SRE0JZ"
"hip","0SRE0KZ"
"hip","0SRR019"
"hip","0SRR01A"
"hip","0SRR01Z"
"hip","0SRR039"
"hip","0SRR03A"
"hip","0SRR03Z"
"hip","0SRR07Z"
"hip","0SRR0J9"
"hip","0SRR0JA"
"hip","0SRR0JZ"
"hip","0SRR0KZ"
"hip","0SRS019"
"hip","0SRS01A"
"hip","0SRS01Z"
"hip","0SRS039"
"hip","0SRS03A"
"hip","0SRS03Z"
"hip","0SRS07Z"
"hip","0SRS0J9"
"hip","0SRS0JA"
"hip","0SRS0JZ"
"hip","0SRS0KZ"
"hip","8151"
"hip","27130"
"hip","27132"
"hip","27134"
"knee","0SRC069"
"knee","0SRC06A"
"knee","0SRC06Z"
"knee","0SRC07D"
"knee","0SRC07E"
"knee","0SRC07Z"
"knee","0SRC0EZ"
"knee","0SRC0J9"
"knee","0SRC0JA"
