"Code","Full Description","Class","Approach"
"0RG24A1",NA,"spineFusion",NA
"0RG24AJ","Fusion of 2 or more Cervical Vertebral Joints with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24J0","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24J1","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24JJ","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24K0","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24K1","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24KJ","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24Z0","Fusion of 2 or more Cervical Vertebral Joints, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24Z1","Fusion of 2 or more Cervical Vertebral Joints, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24ZJ","Fusion of 2 or more Cervical Vertebral Joints, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG4070","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG4071","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Open Approach","spineFusion","Open Approach"
"0RG407J","Fusion of Cervicothoracic Vertebral Joint with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40A0","Fusion of Cervicothoracic Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Open Approach","spineFusion","Open Approach"
"0RG40A1",NA,"spineFusion",NA
