PROC CODE,PROCEDURE DESCRIPTION
80175,DRUG SCREEN QUAN LAMOTRIGINE       
80175,DRUG SCREEN QUAN LAMOTRIGINE       
80175,DRUG SCREEN QUAN LAMOTRIGINE       
80175,DRUG SCREEN QUAN LAMOTRIGINE       
80175,DRUG SCREEN QUAN LAMOTRIGINE       
80176,LIDOCAINE                          
80176,LIDOCAINE                          
80176,LIDOCAINE                          
80177,DRUG SCRN QUAN LEVETIRACETAM       
80177,DRUG SCRN QUAN LEVETIRACETAM       
80177,DRUG SCRN QUAN LEVETIRACETAM       
80177,DRUG SCRN QUAN LEVETIRACETAM       
80177,DRUG SCRN QUAN LEVETIRACETAM       
80178,LITHIUM                            
80178,LITHIUM                            
80178,LITHIUM                            
80178,LITHIUM                            
80178,LITHIUM                            
80179,DRUG ASSAY SALICYLATE              
80180,DRUG SCRN QUAN MYCOPHENOLATE       
80180,DRUG SCRN QUAN MYCOPHENOLATE       
80180,DRUG SCRN QUAN MYCOPHENOLATE       
80180,DRUG SCRN QUAN MYCOPHENOLATE       
80181,DRUG ASSAY FLECAINIDE              
80182,NORTRIPTYLINE                      
80182,NORTRIPTYLINE                      
80182,NORTRIPTYLINE                      
80182,NORTRIPTYLINE                      
80183,DRUG SCRN QUANT OXCARBAZEPIN       
80183,DRUG SCRN QUANT OXCARBAZEPIN       
80183,DRUG SCRN QUANT OXCARBAZEPIN       
80183,DRUG SCRN QUANT OXCARBAZEPIN       
80183,DRUG SCRN QUANT OXCARBAZEPIN       
80184,PHENOBARBITAL                      
80184,PHENOBARBITAL                      
80184,PHENOBARBITAL                      
80184,PHENOBARBITAL                      
80185,ASSAY OF PHENYTOIN TOTAL           
80185,ASSAY OF PHENYTOIN TOTAL           
80185,ASSAY OF PHENYTOIN TOTAL           
80185,ASSAY OF PHENYTOIN TOTAL           
80185,ASSAY OF PHENYTOIN TOTAL           
80185,ASSAY OF PHENYTOIN TOTAL           
80186,ASSAY OF PHENYTOIN FREE            
80186,ASSAY OF PHENYTOIN FREE            
80186,ASSAY OF PHENYTOIN FREE            
80186,ASSAY OF PHENYTOIN FREE            
80186,ASSAY OF PHENYTOIN FREE            
80186,ASSAY OF PHENYTOIN FREE            
80187,DRUG ASSAY POSACONAZOLE            
80188,PRIMIDONE                          
80188,PRIMIDONE                          
80188,PRIMIDONE                          
80188,PRIMIDONE                          
80188,PRIMIDONE                          
80188,PRIMIDONE                          
80189,DRUG ASSAY ITRACONAZOLE            
80190,PROCAINAMIDE;                      
80190,PROCAINAMIDE;                      
80190,PROCAINAMIDE;                      
80190,PROCAINAMIDE;                      
80192,ASSAY OF PROCAINAMIDE              
80192,ASSAY OF PROCAINAMIDE              
80192,ASSAY OF PROCAINAMIDE              
80192,ASSAY OF PROCAINAMIDE              
80192,ASSAY OF PROCAINAMIDE              
80192,ASSAY OF PROCAINAMIDE              
80193,DRUG ASSAY LEFLUNOMIDE             
80194,QUINIDINE                          
80194,QUINIDINE                          
80194,QUINIDINE                          
80194,QUINIDINE                          
